country,marriage_status,percentage
Armenia,Divorced,3.620803159973667
Armenia,Living with a partner,1.7116524028966424
Armenia,Married,63.85780118499012
Armenia,Never been married,14.944042132982224
Armenia,Widowed,15.86570111915734
Belarus,Divorced,6.25
Belarus,Living with a partner,5.38563829787234
Belarus,Married,53.52393617021277
Belarus,Never been married,21.875
Belarus,Separated,1.795212765957447
Belarus,Widowed,11.170212765957446
Bosnia,Divorced,4.25531914893617
Bosnia,Living with a partner,1.9342359767891684
Bosnia,Married,57.1244358478401
Bosnia,Never been married,16.312056737588655
Bosnia,Separated,0.5802707930367506
Bosnia,Widowed,19.79368149580916
Bulgaria,Divorced,7.1517412935323375
Bulgaria,Living with a partner,7.898009950248756
Bulgaria,Married,51.24378109452736
Bulgaria,Never been married,12.56218905472637
Bulgaria,Separated,2.4875621890547266
Bulgaria,Widowed,18.65671641791045
Croatia,Divorced,7.395898073337477
Croatia,Living with a partner,4.039776258545681
Croatia,Married,53.1385954008701
Croatia,Never been married,16.718458669981352
Croatia,Separated,2.858918582970789
Croatia,Widowed,15.848353014294592
Czech Republic,Divorced,9.939556749496306
Czech Republic,Living with a partner,12.424445936870384
Czech Republic,Married,49.69778374748153
Czech Republic,Never been married,17.730020147750167
Czech Republic,Separated,0.4029550033579583
Czech Republic,Widowed,9.805238415043654
Estonia,Divorced,13.001797483523069
Estonia,Living with a partner,12.941881366087475
Estonia,Married,37.08807669263032
Estonia,Never been married,13.121629718394248
Estonia,Separated,5.152786099460755
Estonia,Widowed,18.693828639904133
Georgia,Divorced,4.512753433616743
Georgia,Living with a partner,6.867233485938522
Georgia,Married,53.30281229561805
Georgia,Never been married,17.004578155657292
Georgia,Separated,1.831262262916939
Georgia,Widowed,16.481360366252453
Greece,Divorced,5.942622950819672
Greece,Living with a partner,3.415300546448088
Greece,Married,56.4207650273224
Greece,Never been married,23.15573770491803
Greece,Separated,1.5710382513661203
Greece,Widowed,9.494535519125682
Hungary,Divorced,12.719891745602164
Hungary,Living with a partner,14.884979702300406
Hungary,Married,45.39918809201624
Hungary,Never been married,10.690121786197563
Hungary,Separated,1.7591339648173208
Hungary,Widowed,14.546684709066309
Kazakhstan,Divorced,7.701564380264742
Kazakhstan,Living with a partner,3.0084235860409145
Kazakhstan,Married,59.56678700361011
Kazakhstan,Never been married,20.517448856799035
Kazakhstan,Separated,1.5042117930204573
Kazakhstan,Widowed,7.701564380264742
Latvia,Divorced,10.279805352798054
Latvia,Living with a partner,15.75425790754258
Latvia,Married,40.20681265206812
Latvia,Never been married,17.822384428223845
Latvia,Separated,3.2846715328467155
Latvia,Widowed,12.652068126520682
Lithuania,Divorced,12.571793235481811
Lithuania,Living with a partner,7.849393746011486
Lithuania,Married,49.39374601148692
Lithuania,Never been married,12.699425654116144
Lithuania,Separated,0.8296107211231653
Lithuania,Widowed,16.65603063178047
Moldova,Divorced,5.228758169934641
Moldova,Living with a partner,1.5250544662309369
Moldova,Married,59.3681917211329
Moldova,Never been married,13.562091503267974
Moldova,Separated,1.5250544662309369
Moldova,Widowed,18.79084967320261
Poland,Divorced,5.416666666666667
Poland,Living with a partner,7.013888888888889
Poland,Married,55.76388888888889
Poland,Never been married,15.069444444444445
Poland,Separated,1.25
Poland,Widowed,15.48611111111111
Romania,Divorced,3.911439114391144
Romania,Living with a partner,4.723247232472325
Romania,Married,64.64944649446494
Romania,Never been married,13.653136531365314
Romania,Separated,1.2546125461254614
Romania,Widowed,11.808118081180812
Russia,Divorced,11.01105198526402
Russia,Living with a partner,4.993860008186656
Russia,Married,51.1665984445354
Russia,Never been married,17.928776094965208
Russia,Separated,2.5787965616045847
Russia,Widowed,12.320916905444127
Serbia,Divorced,6.82110682110682
Serbia,Living with a partner,2.702702702702702
Serbia,Married,49.29214929214929
Serbia,Never been married,20.463320463320464
Serbia,Separated,1.48005148005148
Serbia,Widowed,19.24066924066924
Ukraine,Divorced,6.192851205320033
Ukraine,Living with a partner,3.657522859517872
Ukraine,Married,62.92601828761429
Ukraine,Never been married,14.921030756442228
Ukraine,Separated,1.163757273482959
Ukraine,Widowed,11.13881961762261
Austria,Divorced,3.249299719887956
Austria,In a civil partnership,4.033613445378151
Austria,Living with a partner,14.173669467787114
Austria,Married,63.0812324929972
Austria,Never been married,12.492997198879552
Austria,Separated,0.8403361344537815
Austria,Widowed,2.1288515406162465
Belgium,Divorced,11.489645958583834
Belgium,In a civil partnership,9.01803607214429
Belgium,Living with a partner,5.344021376085505
Belgium,Married,44.82297929191717
Belgium,Never been married,20.975283901135604
Belgium,Separated,1.5364061456245823
Belgium,Widowed,6.813627254509018
Denmark,Divorced,11.201079622132252
Denmark,In a civil partnership,1.0796221322537112
Denmark,Living with a partner,12.34817813765182
Denmark,Married,45.00674763832658
Denmark,Never been married,20.91767881241565
Denmark,Separated,1.0796221322537112
Denmark,Widowed,8.367071524966262
Finland,Divorced,11.311914323962515
Finland,In a civil partnership,0.2677376171352075
Finland,Living with a partner,14.323962516733602
Finland,Married,48.25970548862115
Finland,Never been married,17.202141900937082
