QRID,weight,SurveyPublic,DEMONYM,Q1,Q2a,Q2b,Q2c,Q2d,Q3,Q4,QLEGAL,Q5a,Q5b,Q5c,Q5d,QCURREL,Q6a,Q6b,Q6c,Q6d,Q6e,Q6f,QBORN,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q8i,Q8j,Q8k,Q9,Q10,Q11,Q12,QCHREL,Q13,Q14,Q15a,Q15b,Q15c,Q15d,QFIGURESa,QFIGURESb,QFIGURESc,QFIGURESd,QFIGURESe,QFIGURESf,QFIGURESg,QFIGURESh,QFIGURESi,Q16_1,Q16_2,Q16_3,Q16_98,Q16_99,Q17,Q18,Q19,Q20a,Q20b,Q21,Q22a,Q22b,Q22c,Q22d,Q23,Q24a,Q24b,Q24c,Q24d,Q25a,Q25b,Q25c,Q26a,Q26b,Q27a,Q27b,Q27c,Q27d,Q27e,Q27f,Q27g,Q27h,Q27i,Q28,Q29,Q30,Q31,Q33,Q35,Q36,Q37,Q38a,Q38b,Q38c,Q39a,Q39b,Q39c,Q39d,QABORT,Q40a,Q40b,Q40c,Q40d,Q40e,QATTEND,QAGE,QAGE_NRHKG,QAGE_NRJPN,QAGE_NRKOR,QAGE_NRTWNrec,QAGE_NRVNM,QETHHKG,QETHTWN,QETHVNM,QFERT,QHH1,QHH2,Q41,QMARRIED,QEDUHKG,QEDUJPN,QEDUKOR,QEDUTWN,QEDUVNM,CHURCHEDUa,CHURCHEDUb,QPTYJPN,QPTYTWN,Q50,Q51,QZIPHKG,QZIPHKG2,QZIPJPN2,QZIPKOR,QZIPTWN,VietnamRegion,GenderRec,Language,ISCED,UrbanVietnam
1300002,.469825044209744,1,1,1,3,3,3,3,2,3,2,1,2,2,1,8,2,2, ,2,2,2, ,2,2,1,1,1, , , , , , , , , , , ,4,2,1,2,8, ,3,2,2,2,2,2,2,2,2,2,2,2, ,2,1,2,2,2,2,2,2,1,1,1,3,1,1,1,1,2,2,2,2,2,1,2,2,5,4,1,1,1,2,1,1,2,2,1,7,2,1,2,2,1,2,1,2,2,2,3,2,4,3,2,2,3,4,2,4, ,38, , , , , ,1, , ,0, ,2,2,4,7, , , , ,1,2, , , ,1,17,3, , , , ,2,1,5, 
1300003,.546788939933933,1,1,3,1,2,1,3,2,3,4,1,1,1,1,2,2,1, ,2,2,2,2,2,2,1,1,1, , , , , , , , , , , ,1,1,1,2,2, ,3,2,2,1,2,2,1,1,2,1,2,2, ,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,5,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,3,49, , , , , ,98, , ,1, ,2,1,1,7, , , , ,1,2, , , ,1,17,3, , , , ,2,1,5, 
1300049,.703323912800837,1,1,2,1,3,1,3,2,3,2,2,1,1,2,8,2,2, ,2,2,1, ,1,1,1,1,1, , , , , , , , , , , ,3,2,2,2,2, ,1,2,2,2,2,2,2,2,2,2,2,2, ,2,1,2,2,2,2,2,2,2, , , ,1,1,1,2,1,1,2,2,2,2,2,2,4,3,2,2,1,2,2,2,2,2,2,5,2,1,2,2,2,1,1,2,2,1,2,3,2,3,2,1,4,2,3,4, ,27, , , , , ,1, , ,0, ,3,2,4,7, , , , ,1,2, , , ,1,10,3, , , , ,1,1,5, 
1300057,.844955704120806,1,1,1,3,3,3,3,2,3,2,2,2,2,3,7,2,2, ,2,2,1, ,2,1,1,1,1, , , , , , , , , , , ,2,1,1,2,7, ,3,2,2,2,2,2,2,2,2,2,2,2, ,2,1,2,2,2,2,1,2,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,4,4,1,1,1,1,1,1,1,1,1,6,2,1,1,2,1,2,2,2,2,2,2,2,2,3,3,2,2,3,3,3, ,43, , , , , ,1, , ,2, ,2,1,1,4, , , , ,1,2, , , ,1,3,1, , , , ,1,1,3, 
1300065,.552330159000871,1,1,3,3,3,3,3,2,3,3,1,3,3,1,1,2,2, ,2,2,1, ,2,2,1,2,2,2,2,2,2,1,2,1,1,1,2,2,2,1,1,2,1, ,1,2,1,2,2,2,1,2,1,2,1,1, ,2,1,2,2,2,2,1,1,2, , , ,2,2,2,1,1,1,2,1,2,2,1,2,4,2,1,1,1,1,1,1,1,1,1,6,2,2,2,2,2,1,2,2,2,2,4,1,3,4,4,1,3,3,4,4, ,35, , , , , ,1, , ,1, ,2,2,1,6, , , , ,2,2, , , ,1,3,1, , , , ,2,1,5, 
1300067,.616498787108252,1,1,3,3,2,3,2,2,2,2,1,2,1,1,1,1,2, ,1,1,1, ,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,2,2,1, ,2,2,2,2,2,2,1,2,2,1,1,1, ,2,1,2,2,2,2,2,1,2, , , ,1,1,1,2,1,1,2,2,2,1,1,2,5,3,1,1,1,1,1,1,1,1,1,6,1,2,2,2,2,2,1,2,2,2,2,2,2,2,4,3,3,2,2,3, ,35, , , , , ,1, , ,1, ,3,3,1,4, , , , ,1,2, , , ,1,17,3, , , , ,2,1,3, 
1300144,.688423037406047,1,1,3,3,3,3,3,2,3,3,2,3,3,2,8,2,2, ,2,2,2, ,2,2,1,2,1, , , , , , , , , , , ,3,2,1,2,8, ,1,2,2,2,2,2,2,2,2,2,2,2, ,2,1,2,2,2,2,2,2,2, , , ,1,1,1,1,2,2,2,2,2,2,2,2,5,4,1,1,1,2,1,2,2,2,2,6,1,1,2,2,2,2,1,2,2,2,3,3,2,3,2,2,4,3,2,2, ,40, , , , , ,98, , ,1, ,3,3,1,4, , , , ,2,2, , , ,1,8,2, , , , ,2,1,3, 
1300162,.489602039081185,1,1,3,3,3,3,3,2,1,2,2,2,3,1,2,2,2, ,2,2,2,2,2,1,1,1,1, , , , , , , , , , , ,2,1,1,2,1, ,1,2,2,2,2,2,1,2,2,1,1,1, ,2,1,1,2,2,2,2,3,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,6,1,1,1,1,1,1,1,2,2,2,2,2,2,4,2,4,4,4,3,4,7,18, , , , , ,1, , ,0, ,4,2,4,4, , , , ,1,2, , , ,1,13,3, , , , ,1,1,3, 
1300163,.858039800293149,1,1,2,3,3,3,3,2,1,1,2,2,2,2,8,2,2, ,2,2,1, ,2,2,1,1,1, , , , , , , , , , , ,3,2,1,2,8, ,1,2,2,2,2,2,1,2,2,2,1,1, ,2,1,1,2,2,2,2,3,1,1,1,3,1,1,1,1,2,2,2,2,2,2,2,2,5,2,1,1,1,2,2,2,2,2,2,7,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,1,3,3,3,3, ,32, , , , , ,1, , ,0, ,4,2,4,7, , , , ,1,2, , , ,1,7,2, , , , ,1,1,5, 
1300177,1.12659821720578,1,1,3,3,3,3,3,2,2,3,3,2,3,2,8,98,2, ,2,98,98, ,1,1,1,1,1, , , , , , , , , , , ,1,98,2,3,8, ,3,2,2,2,2,2,2,2,2,2,2,2, ,2,2,1,2,2,2, ,1,1,2,1,3,2,2,1,2,2,2,2,2,2,2,2,2,5,5,2,98,2,98,98,2,2,98,98,98,1,1,2,2,1,98,1,1,1,1,98,4,1,4,98,4,98,1,1,98, ,83, , , , , ,1, , ,2, ,3,1,1,3, , , , ,2,2, , , ,1,6,2, , , , ,1,1,2, 
1300187,.46261299178912,1,1,3,3,3,3,3,2,3,2,1,2,2,1,1,1,2, ,1,1,1, ,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1, ,1,2,2,2,2,2,1,2,2,2,1,1, ,2,1,2,2,2,2,2,2,1,2,1,3,1,1,1,1,1,1,2,2,2,1,1,2,4,4,1,1,1,1,1,1,1,1,1,6,2,1,2,1,2,2,1,2,2,2,1,2,1,4,3,3,4,4,2,4, ,37, , , , , ,1, , ,1, ,2,2,1,5, , , , ,1,2, , , ,1,6,2, , , , ,1,1,4, 
1300191,.554635806217007,1,1,3,3,3,3,3,2,3,2,3,2,3,1,8,2,2, ,2,2,2, ,1,2,1,1,1, , , , , , , , , , , ,3,2,1,2,2, ,1,2,2,2,2,2,1,1,2,1,1,2, ,2,1,2,2,2,2,2,2,2, , , ,1,1,1,1,2,2,2,2,2,2,1,2,5,2,1,1,1,1,1,1,1,1,1,7,2,2,2,2,2,2,1,1,2,1,3,2,2,2,3,3,3,3,3,3, ,31, , , , , ,1, , ,0, ,3,2,4,7, , , , ,1,2, , , ,1,4,1, , , , ,2,1,5, 
1300205,.546788939933933,1,1,3,3,3,3,3,2,3,2,2,2,2,1,8,2,2, ,2,2,1, ,1,1,1,1,1, , , , , , , , , , , ,2,2,1,2,2, ,3,2,2,2,2,2,1,2,2,1,1,1, ,2,1,2,2,2,2,2,2,2, , , ,2,2,1,2,2,2,2,2,2,1,1,2,3,3,1,1,1,1,1,1,1,1,1,6,2,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,4,3,2,3, ,46, , , , , ,1, , ,1, ,2,2,1,7, , , , ,1,2, , , ,1,13,3, , , , ,2,1,5, 
1300215,.296576292600112,1,1,1,3,3,3,3,2,3,2,3,3,3,2,8,2,2, ,2,2,2, ,2,1,1,1,1, , , , , , , , , , , ,4,2,2,2,8, ,3,2,2,2,2,2,2,2,2,2,2,2, ,2,2,1,2,2,2, ,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,5,5,1,1,1,1,1,1,1,1,1,7,2,1,2,2,2,2,1,1,1,1,2,3,2,3,2,2,4,3,3,4, ,34, , , , , ,1, , ,2, ,2,2,1,5, , , , ,2,2, , , ,1,17,3, , , , ,2,1,4, 
1300220,.552330159000871,1,1,3,3,3,3,3,2,3,2,1,2,2,1,8,2,2, ,2,1,2, ,2,2,1,1,1, , , , , , , , , , , ,3,1,1,2,5, ,1,2,2,2,2,2,2,2,2,2,2,2, ,2,1,1,2,2,2,2,2,1,1,1,3,1,2,1,1,2,2,2,2,2,2,2,2,4,4,2,1,1,2,1,2,2,2,2,7,2,1,2,2,1,1,1,2,2,2,3,3,2,3,3,1,4,4,2,4, ,40, , , , , ,1, , ,0, ,2,2,4,7, , , , ,1,2, , , ,1,1,1, , , , ,2,1,5, 
